CODE_GENDER,FLAG_OWN_CAR,FLAG_OWN_REALTY,CNT_CHILDREN,AMT_INCOME_TOTAL,NAME_INCOME_TYPE,NAME_EDUCATION_TYPE,NAME_FAMILY_STATUS,NAME_HOUSING_TYPE,DAYS_EMPLOYED,FLAG_MOBIL,FLAG_WORK_PHONE,FLAG_PHONE,FLAG_EMAIL,OCCUPATION_TYPE,CNT_FAM_MEMBERS,DAYS_BIRTH_CLEAN,Letter,Main_ID
M,Y,N,1.0,157500.0,Working,Secondary / secondary special,Married,House / apartment,-1904.0,1.0,1.0,1.0,0.0,Drivers,3.0,26/03/1992,L,5137421
F,N,N,0.0,148500.0,Pensioner,Secondary / secondary special,Widow,House / apartment,,1.0,0.0,1.0,0.0,,1.0,27/05/1966,I,5054370
M,Y,Y,1.0,225000.0,Working,Secondary / secondary special,Married,House / apartment,-2371.0,1.0,0.0,0.0,0.0,Drivers,3.0,08/11/1978,O,5053684
F,Y,N,0.0,180000.0,Working,Secondary / secondary special,Married,House / apartment,-11542.0,1.0,0.0,0.0,0.0,Medicine staff,2.0,02/04/1970,R,5117576
F,N,Y,1.0,315000.0,State servant,Higher education,Married,House / apartment,-233.0,1.0,1.0,0.0,0.0,Managers,3.0,02/02/1990,B,6759134
F,N,Y,,67500.0,Pensioner,Secondary / secondary special,Married,House / apartment,365243.0,1.0,0.0,0.0,0.0,,2.0,02/06/1967,P,5900707
F,N,Y,0.0,121500.0,Pensioner,Secondary / secondary special,Married,House / apartment,365243.0,1.0,0.0,1.0,1.0,,2.0,02/11/1965,G,5343636
M,N,N,2.0,135000.0,Commercial associate,Secondary / secondary special,Married,House / apartment,-5179.0,1.0,0.0,0.0,0.0,,4.0,16/06/1979,R,5669587
F,Y,Y,1.0,135000.0,Commercial associate,Higher education,Separated,House / apartment,-357.0,1.0,0.0,0.0,,Core staff,2.0,03/07/1993,V,6520539
F,Y,N,0.0,90000.0,Working,Secondary / secondary special,Married,House / apartment,-5375.0,1.0,0.0,0.0,0.0,Sales staff,2.0,10/12/1986,X,5618394
M,Y,,0.0,495000.0,Commercial associate,Higher education,Married,House / apartment,-1779.0,1.0,0.0,0.0,0.0,Managers,2.0,15/02/1972,C,6146813
F,N,N,0.0,427500.0,Working,Incomplete higher,Married,Municipal apartment,-1420.0,1.0,0.0,1.0,0.0,,2.0,18/03/1965,W,6262231
M,Y,Y,2.0,171000.0,Working,Secondary / secondary special,Married,House / apartment,-4622.0,1.0,0.0,0.0,0.0,Laborers,4.0,31/01/1981,D,6591346
F,N,Y,0.0,157500.0,Pensioner,Secondary / secondary special,Married,House / apartment,365243.0,1.0,0.0,1.0,0.0,,2.0,03/02/1967,M,5884638
F,N,Y,0.0,112500.0,Working,Secondary / secondary special,Married,House / apartment,-931.0,1.0,0.0,0.0,0.0,Sales staff,2.0,07/06/1993,B,6484951
F,N,Y,0.0,157500.0,Working,Higher education,Single / not married,With parents,-4653.0,1.0,0.0,1.0,0.0,Core staff,1.0,25/05/1986,D,6424951
F,N,Y,0.0,63000.0,Pensioner,Secondary / secondary special,,House / apartment,,1.0,0.0,0.0,0.0,,2.0,15/05/1957,D,6577710
F,Y,Y,1.0,108000.0,State servant,Secondary / secondary special,Married,House / apartment,-1705.0,1.0,1.0,0.0,0.0,,3.0,27/11/1978,E,5752162
M,Y,N,0.0,225000.0,Commercial associate,Higher education,Married,House / apartment,-2624.0,1.0,0.0,1.0,0.0,Managers,2.0,23/11/1984,Q,6603853
F,N,N,1.0,90000.0,State servant,Secondary / secondary special,Married,House / apartment,-2573.0,1.0,1.0,1.0,0.0,,3.0,11/02/1986,M,6234042
F,N,N,0.0,360000.0,Working,Secondary / secondary special,Separated,Municipal apartment,-14797.0,1.0,0.0,0.0,0.0,Accountants,1.0,03/09/1961,Z,5627537
M,Y,Y,0.0,157500.0,Commercial associate,Secondary / secondary special,Single / not married,House / apartment,-2066.0,1.0,1.0,0.0,0.0,Drivers,1.0,18/09/1970,I,5405276
M,Y,Y,1.0,202500.0,Working,Secondary / secondary special,Married,House / apartment,-2102.0,1.0,1.0,1.0,0.0,Drivers,3.0,03/07/1981,Y,5042296
M,N,N,1.0,180000.0,Working,Secondary / secondary special,Married,House / apartment,-3047.0,1.0,0.0,0.0,0.0,,3.0,10/09/1981,I,5388649
M,N,N,0.0,,Working,Secondary / secondary special,Single / not married,House / apartment,-331.0,1.0,1.0,1.0,0.0,Laborers,1.0,15/05/1999,Y,6830899
F,N,Y,0.0,81000.0,Pensioner,Secondary / secondary special,Married,House / apartment,365243.0,1.0,0.0,0.0,0.0,,2.0,22/10/1965,J,6757973
M,Y,Y,0.0,112500.0,Pensioner,Higher education,Married,House / apartment,365243.0,1.0,0.0,0.0,0.0,,2.0,15/12/1971,F,6154229
F,Y,Y,0.0,,Pensioner,Secondary / secondary special,,House / apartment,365243.0,1.0,0.0,0.0,0.0,,2.0,27/12/1969,O,6786084
F,N,N,0.0,184500.0,,Secondary / secondary special,Civil marriage,Municipal apartment,-8683.0,1.0,1.0,1.0,0.0,Core staff,2.0,30/12/1978,K,5943336
F,N,Y,0.0,76500.0,Working,Secondary / secondary special,Married,House / apartment,-5022.0,,1.0,1.0,0.0,Laborers,2.0,29/01/1970,Q,5067997
M,N,N,0.0,135000.0,Working,Secondary / secondary special,Married,House / apartment,-721.0,1.0,1.0,0.0,0.0,Laborers,2.0,23/05/1986,V,6033093
M,Y,Y,0.0,270000.0,Commercial associate,Secondary / secondary special,Married,House / apartment,-895.0,1.0,1.0,0.0,0.0,Laborers,2.0,11/12/1973,O,5026188
F,N,Y,0.0,135000.0,State servant,Higher education,Married,House / apartment,-5962.0,1.0,0.0,0.0,0.0,Managers,2.0,15/07/1962,I,6264776
F,N,Y,0.0,382500.0,Working,Secondary / secondary special,Separated,House / apartment,-2523.0,1.0,0.0,0.0,0.0,Laborers,1.0,18/08/1983,B,6362736
F,Y,Y,0.0,180000.0,Pensioner,Higher education,Married,House / apartment,365243.0,1.0,0.0,0.0,0.0,,2.0,13/11/1962,H,5993594
M,Y,Y,0.0,180000.0,State servant,Incomplete higher,Married,House / apartment,-1232.0,1.0,0.0,1.0,0.0,Core staff,2.0,22/05/1999,B,6781752
F,N,N,0.0,112500.0,Working,Secondary / secondary special,Married,House / apartment,-2888.0,1.0,0.0,0.0,0.0,Waiters/barmen staff,,16/04/1966,Y,6123391
M,Y,N,1.0,202500.0,Working,Secondary / secondary special,Married,With parents,-426.0,1.0,0.0,0.0,0.0,,3.0,28/11/1994,S,6782746
M,N,Y,0.0,270000.0,Working,Secondary / secondary special,Married,House / apartment,-6152.0,1.0,0.0,0.0,0.0,Laborers,2.0,30/04/1979,Q,6288475
F,N,N,1.0,148500.0,Commercial associate,Secondary / secondary special,Civil marriage,House / apartment,-2874.0,1.0,0.0,0.0,0.0,Laborers,3.0,24/08/1990,I,7995889
F,N,N,0.0,315000.0,Working,Secondary / secondary special,Single / not married,House / apartment,-721.0,1.0,0.0,0.0,0.0,Low-skill Laborers,1.0,04/12/1988,W,5771017
F,N,Y,1.0,450000.0,Commercial associate,Secondary / secondary special,Married,Co-op apartment,-2359.0,1.0,0.0,,0.0,,3.0,29/07/1968,J,5975839
M,Y,N,0.0,135000.0,Commercial associate,Secondary / secondary special,Married,Municipal apartment,-1540.0,1.0,0.0,1.0,0.0,Sales staff,2.0,27/09/1982,L,5834326
F,N,Y,0.0,180000.0,Working,Higher education,Widow,House / apartment,-2225.0,1.0,0.0,1.0,0.0,,1.0,26/05/1958,L,6764941
M,Y,Y,0.0,562500.0,Commercial associate,Higher education,Married,House / apartment,-5114.0,1.0,0.0,1.0,0.0,High skill tech staff,2.0,26/07/1981,X,6192798
F,N,Y,0.0,90000.0,Pensioner,Secondary / secondary special,Married,House / apartment,365243.0,1.0,0.0,0.0,0.0,,2.0,07/08/1958,V,6509027
F,N,Y,0.0,112500.0,Pensioner,Secondary / secondary special,Single / not married,House / apartment,365243.0,,0.0,0.0,0.0,,1.0,05/06/1964,U,6280962
F,Y,Y,0.0,225000.0,Pensioner,Higher education,Widow,House / apartment,365243.0,1.0,0.0,1.0,,,1.0,14/07/1966,T,6728491
F,N,N,3.0,112500.0,Working,Incomplete higher,Married,Municipal apartment,-2470.0,1.0,1.0,0.0,0.0,Sales staff,5.0,05/11/1980,T,5095817
F,N,N,0.0,157500.0,,,Married,Municipal apartment,-1724.0,1.0,1.0,1.0,0.0,Managers,2.0,26/12/1980,M,5834521
M,N,Y,2.0,270000.0,Commercial associate,Secondary / secondary special,Married,House / apartment,-1600.0,1.0,0.0,0.0,0.0,Managers,4.0,16/07/1982,B,5918262
M,N,Y,0.0,180000.0,Working,Secondary / secondary special,Single / not married,House / apartment,-2334.0,1.0,1.0,0.0,0.0,,1.0,18/07/1993,A,5023363
F,Y,Y,0.0,225000.0,Pensioner,Secondary / secondary special,Married,House / apartment,365243.0,1.0,0.0,0.0,0.0,,2.0,24/05/1962,S,6248230
F,N,Y,1.0,180000.0,Working,Incomplete higher,Married,House / apartment,-3525.0,1.0,0.0,1.0,0.0,Sales staff,3.0,24/02/1995,P,6576048
M,N,Y,0.0,157500.0,Commercial associate,Secondary / secondary special,Married,House / apartment,-750.0,1.0,0.0,0.0,0.0,Laborers,2.0,05/11/1995,Y,5182813
F,Y,Y,1.0,157500.0,Commercial associate,Higher education,Married,House / apartment,-2716.0,1.0,0.0,1.0,0.0,,,27/12/1986,A,5883888
F,N,Y,0.0,292500.0,Commercial associate,Higher education,Married,House / apartment,-8043.0,1.0,0.0,1.0,0.0,,2.0,21/02/1971,P,6103192
M,Y,Y,1.0,675000.0,Commercial associate,Higher education,Married,House / apartment,-4114.0,1.0,0.0,0.0,1.0,Managers,3.0,11/11/1973,F,5235728
F,Y,Y,2.0,157500.0,Working,Secondary / secondary special,Married,House / apartment,-954.0,1.0,0.0,0.0,0.0,Sales staff,4.0,13/06/1995,J,6639327
F,N,N,0.0,121500.0,State servant,Higher education,Single / not married,With parents,-904.0,1.0,0.0,0.0,0.0,Core staff,1.0,14/04/1997,U,6551070
F,Y,Y,0.0,225000.0,State servant,Higher education,Married,House / apartment,-9385.0,1.0,1.0,0.0,0.0,Managers,2.0,06/05/1974,Y,5113481
F,N,Y,0.0,135000.0,,Higher education,Married,House / apartment,-216.0,1.0,0.0,0.0,0.0,Managers,2.0,24/07/1993,N,5385098
F,N,Y,0.0,67500.0,Working,Higher education,Married,With parents,-1563.0,1.0,0.0,0.0,1.0,Sales staff,2.0,02/02/1995,Q,5711079
F,N,Y,0.0,94500.0,Pensioner,Secondary / secondary special,Married,House / apartment,365243.0,1.0,0.0,0.0,0.0,,2.0,21/12/1967,W,5156656
F,N,Y,0.0,360000.0,Pensioner,Secondary / secondary special,Single / not married,House / apartment,365243.0,1.0,0.0,1.0,0.0,,1.0,13/02/1967,J,6664543
F,Y,Y,1.0,247500.0,Working,Secondary / secondary special,Civil marriage,House / apartment,-1253.0,1.0,0.0,0.0,1.0,Laborers,3.0,06/03/1976,C,5067021
M,Y,N,0.0,607500.0,Commercial associate,Secondary / secondary special,Married,House / apartment,-4685.0,1.0,0.0,0.0,0.0,Laborers,2.0,24/07/1961,D,5761822
F,Y,N,0.0,90000.0,Pensioner,Secondary / secondary special,Married,House / apartment,365243.0,1.0,0.0,1.0,0.0,,2.0,28/10/1962,U,6611779
F,N,Y,0.0,112500.0,Working,Secondary / secondary special,Separated,House / apartment,-228.0,1.0,0.0,0.0,0.0,High skill tech staff,1.0,31/08/1977,B,6122228
F,,N,0.0,67500.0,,Secondary / secondary special,Civil marriage,House / apartment,-1346.0,1.0,0.0,0.0,0.0,,2.0,12/08/1997,R,5139333
M,Y,Y,1.0,292500.0,Working,Secondary / secondary special,Married,House / apartment,-2304.0,1.0,0.0,0.0,0.0,Drivers,3.0,14/02/1986,R,6431049
F,N,N,0.0,189000.0,Commercial associate,Secondary / secondary special,Civil marriage,House / apartment,-523.0,1.0,0.0,0.0,0.0,Managers,2.0,02/04/1978,I,5096510
M,Y,Y,0.0,157500.0,Working,Secondary / secondary special,Single / not married,Rented apartment,-1072.0,1.0,0.0,0.0,0.0,Laborers,1.0,15/08/2000,G,5728006
F,N,N,2.0,130500.0,Working,Secondary / secondary special,Married,House / apartment,-3557.0,1.0,0.0,0.0,0.0,Sales staff,4.0,12/06/1993,U,5769597
F,N,Y,0.0,630000.0,Working,Higher education,Separated,House / apartment,-1539.0,1.0,1.0,1.0,0.0,Accountants,1.0,26/11/1962,Z,5029660
M,Y,Y,0.0,135000.0,,Secondary / secondary special,Married,House / apartment,-2162.0,1.0,0.0,1.0,0.0,Drivers,2.0,03/11/1988,A,6782341
M,N,Y,0.0,270000.0,Commercial associate,Higher education,Married,House / apartment,-1011.0,1.0,0.0,1.0,0.0,Managers,2.0,03/07/1974,K,6013773
F,N,Y,0.0,157500.0,Commercial associate,Higher education,Married,House / apartment,-1538.0,1.0,1.0,1.0,0.0,Core staff,2.0,20/05/1992,W,7268816
F,N,Y,0.0,211500.0,Pensioner,Secondary / secondary special,Single / not married,House / apartment,365243.0,1.0,0.0,0.0,0.0,,1.0,07/11/1957,T,5546614
F,N,Y,2.0,157500.0,Working,Secondary / secondary special,Married,House / apartment,-5710.0,1.0,0.0,0.0,0.0,Medicine staff,,13/09/1985,A,6460602
M,N,Y,0.0,205200.0,Working,Secondary / secondary special,Married,House / apartment,-2678.0,1.0,0.0,0.0,0.0,Laborers,2.0,29/03/1977,H,5282876
F,Y,N,0.0,202500.0,Pensioner,Secondary / secondary special,Married,House / apartment,365243.0,1.0,0.0,1.0,0.0,,2.0,18/03/1963,U,5344787
M,Y,N,0.0,157500.0,Working,Secondary / secondary special,Married,House / apartment,-1069.0,1.0,0.0,0.0,0.0,Drivers,2.0,04/04/1987,E,6259193
M,N,N,0.0,135000.0,Pensioner,Secondary / secondary special,Married,House / apartment,365243.0,1.0,0.0,1.0,0.0,,2.0,05/05/1961,X,6232315
F,N,Y,0.0,67500.0,Working,Secondary / secondary special,Civil marriage,Office apartment,-1441.0,1.0,0.0,0.0,0.0,Medicine staff,2.0,04/02/1996,F,6045910
F,Y,N,1.0,450000.0,Commercial associate,Secondary / secondary special,Married,House / apartment,-1955.0,1.0,0.0,0.0,1.0,Managers,3.0,09/02/1981,A,6099223
M,Y,N,3.0,157500.0,Working,Secondary / secondary special,Married,With parents,-3954.0,1.0,0.0,0.0,0.0,Security staff,5.0,09/10/1983,X,5919113
M,Y,N,0.0,247500.0,Commercial associate,Secondary / secondary special,Married,,-1782.0,1.0,0.0,1.0,1.0,Drivers,2.0,27/08/1987,Z,6234377
F,N,Y,1.0,99000.0,Working,Secondary / secondary special,Married,House / apartment,-252.0,1.0,0.0,0.0,0.0,Laborers,3.0,29/03/1989,V,5548873
F,N,Y,0.0,202500.0,Working,Secondary / secondary special,Separated,Rented apartment,-8606.0,1.0,0.0,1.0,0.0,Managers,1.0,16/09/1980,X,6695485
F,Y,Y,1.0,90000.0,Commercial associate,Secondary / secondary special,Married,House / apartment,-661.0,1.0,0.0,0.0,1.0,,3.0,06/02/1985,F,5271384
F,N,N,0.0,135000.0,Working,Incomplete higher,Married,House / apartment,-370.0,1.0,0.0,0.0,0.0,,2.0,10/09/1994,X,5095626
M,,N,1.0,270000.0,Working,Secondary / secondary special,Civil marriage,House / apartment,-2345.0,1.0,0.0,0.0,1.0,Laborers,3.0,06/11/1984,K,6022273
F,Y,Y,0.0,166500.0,State servant,Higher education,Married,With parents,-2146.0,1.0,1.0,0.0,0.0,Cleaning staff,2.0,30/03/1970,Y,6122533
M,N,N,0.0,112500.0,Working,Secondary / secondary special,Separated,House / apartment,-613.0,1.0,0.0,0.0,0.0,Cooking staff,1.0,02/10/1979,J,5706494
F,N,N,0.0,211500.0,Pensioner,Secondary / secondary special,Married,House / apartment,365243.0,1.0,0.0,0.0,0.0,,2.0,29/07/1966,X,5798697
M,N,Y,0.0,135000.0,State servant,Secondary / secondary special,Married,Rented apartment,-2323.0,1.0,1.0,0.0,1.0,,2.0,14/07/1994,O,5087831
M,Y,Y,1.0,189000.0,Commercial associate,Secondary / secondary special,Married,,-985.0,1.0,0.0,1.0,0.0,Laborers,3.0,05/11/1991,L,6293945
F,N,Y,1.0,121500.0,Working,Secondary / secondary special,Married,House / apartment,-1305.0,1.0,1.0,0.0,0.0,Cooking staff,3.0,18/03/1986,D,5078865
F,N,Y,0.0,135000.0,Pensioner,Higher education,Widow,House / apartment,,1.0,0.0,1.0,0.0,,1.0,24/01/1962,M,6140055
F,,Y,0.0,180000.0,Commercial associate,Secondary / secondary special,Married,With parents,-2446.0,1.0,0.0,0.0,0.0,Laborers,2.0,14/06/1996,A,6639250
F,N,Y,0.0,112500.0,Pensioner,Higher education,Widow,House / apartment,365243.0,1.0,0.0,0.0,0.0,,1.0,18/03/1957,M,5259968
F,Y,N,0.0,94500.0,Commercial associate,Secondary / secondary special,Married,House / apartment,-3032.0,1.0,1.0,1.0,0.0,,2.0,25/11/1995,B,5833818
F,N,Y,1.0,292500.0,Commercial associate,Secondary / secondary special,Married,House / apartment,-1264.0,1.0,0.0,0.0,0.0,Core staff,3.0,15/08/1977,L,6380355
F,N,Y,0.0,234000.0,Working,Secondary / secondary special,Married,Municipal apartment,-4436.0,1.0,0.0,0.0,0.0,Core staff,2.0,17/04/1981,X,6134546
M,N,Y,1.0,157500.0,State servant,Secondary / secondary special,Married,House / apartment,-873.0,1.0,0.0,0.0,0.0,Security staff,3.0,10/03/1995,Q,5058469
M,Y,Y,0.0,157500.0,Pensioner,Higher education,Married,House / apartment,365243.0,1.0,0.0,0.0,0.0,,2.0,15/08/1955,R,6611452
F,N,N,0.0,202500.0,Pensioner,Secondary / secondary special,Married,House / apartment,365243.0,1.0,0.0,0.0,0.0,,2.0,07/03/1956,N,6230581
F,N,Y,2.0,157500.0,Working,Secondary / secondary special,,House / apartment,-1626.0,1.0,1.0,0.0,0.0,Laborers,4.0,23/10/1986,U,6578092
F,N,Y,0.0,157500.0,Working,Secondary / secondary special,Married,House / apartment,-702.0,1.0,1.0,0.0,0.0,Sales staff,2.0,29/03/1966,L,6544839
F,N,N,2.0,225000.0,Working,Higher education,Married,House / apartment,-4841.0,1.0,0.0,0.0,0.0,Managers,4.0,24/09/1982,P,5872124
M,N,Y,0.0,180000.0,Working,Secondary / secondary special,Married,House / apartment,-189.0,1.0,1.0,0.0,0.0,Drivers,2.0,12/06/1979,G,5539062
F,Y,N,0.0,225000.0,Working,Higher education,Civil marriage,With parents,,1.0,0.0,0.0,0.0,Sales staff,2.0,11/08/1992,N,5633068
F,Y,Y,0.0,360000.0,Commercial associate,Secondary / secondary special,Married,House / apartment,-3877.0,1.0,,0.0,0.0,Managers,2.0,07/12/1982,T,5710357
M,N,Y,2.0,157500.0,Commercial associate,Secondary / secondary special,Civil marriage,House / apartment,-293.0,1.0,0.0,0.0,0.0,,4.0,20/10/1992,T,5824087
F,N,Y,0.0,130500.0,Pensioner,Secondary / secondary special,Married,House / apartment,365243.0,1.0,0.0,0.0,0.0,,2.0,26/08/1960,W,6063540
F,N,Y,0.0,112500.0,Working,Secondary / secondary special,Married,House / apartment,-4341.0,1.0,0.0,0.0,0.0,Laborers,2.0,05/08/1982,V,6658022
F,N,Y,0.0,315000.0,Commercial associate,Secondary / secondary special,Single / not married,House / apartment,-1182.0,1.0,0.0,0.0,0.0,Laborers,,31/10/1971,T,6023555
F,N,Y,1.0,112500.0,Working,Secondary / secondary special,Married,House / apartment,-124.0,1.0,0.0,1.0,0.0,Sales staff,3.0,03/01/1978,Z,5956446
,Y,Y,0.0,450000.0,Working,Higher education,Married,With parents,-3016.0,1.0,0.0,0.0,1.0,Managers,2.0,05/04/1993,S,5889945
F,N,Y,1.0,337500.0,Working,,Single / not married,House / apartment,-1007.0,1.0,0.0,0.0,,Accountants,2.0,14/08/1993,E,5980790
F,N,Y,1.0,135000.0,Commercial associate,Secondary / secondary special,,House / apartment,-2128.0,1.0,0.0,1.0,1.0,Sales staff,3.0,22/02/1993,G,5918715
F,Y,N,0.0,85500.0,Working,Higher education,Married,House / apartment,-7575.0,1.0,0.0,1.0,0.0,,2.0,19/12/1968,M,6831027
F,Y,Y,,360000.0,Commercial associate,Secondary / secondary special,Married,House / apartment,-5530.0,1.0,0.0,0.0,1.0,Managers,3.0,26/05/1981,G,5853499
F,N,,0.0,135000.0,Commercial associate,Secondary / secondary special,Married,House / apartment,-3286.0,1.0,0.0,0.0,0.0,Sales staff,2.0,05/12/1989,T,5839900
F,N,N,0.0,180000.0,Pensioner,Secondary / secondary special,Separated,House / apartment,365243.0,1.0,0.0,0.0,0.0,,1.0,01/10/1964,W,5759725
F,N,Y,0.0,207000.0,Commercial associate,Secondary / secondary special,Widow,House / apartment,-3434.0,1.0,1.0,1.0,1.0,,1.0,19/01/1964,V,6575492
M,N,Y,0.0,157500.0,Working,Secondary / secondary special,Married,House / apartment,-1146.0,1.0,1.0,0.0,0.0,Low-skill Laborers,2.0,08/06/1998,S,6311922
F,Y,N,0.0,180000.0,Working,Higher education,Married,House / apartment,-2852.0,1.0,0.0,1.0,0.0,Core staff,2.0,23/03/1980,T,6759594
M,Y,N,1.0,405000.0,Commercial associate,Higher education,Married,House / apartment,,1.0,0.0,0.0,0.0,Managers,3.0,17/10/1989,E,5046456
F,,N,0.0,315000.0,Commercial associate,Higher education,Married,Rented apartment,-2393.0,1.0,0.0,0.0,0.0,Sales staff,2.0,10/04/1979,R,6674774
F,N,Y,2.0,225000.0,Working,Secondary / secondary special,Separated,House / apartment,-509.0,1.0,0.0,0.0,0.0,,3.0,08/01/1994,F,5992028
F,Y,N,1.0,180000.0,Working,Secondary / secondary special,Single / not married,House / apartment,-294.0,1.0,0.0,0.0,0.0,,2.0,16/06/1988,P,6209715
M,Y,N,0.0,225000.0,State servant,Secondary / secondary special,Single / not married,With parents,-2395.0,1.0,0.0,0.0,0.0,Laborers,1.0,31/03/1997,S,6134704
F,N,Y,1.0,121500.0,Working,Secondary / secondary special,Married,House / apartment,-355.0,1.0,0.0,0.0,0.0,Laborers,3.0,09/04/1997,R,5067797
F,N,Y,2.0,135000.0,Commercial associate,Incomplete higher,Civil marriage,House / apartment,-3803.0,1.0,1.0,0.0,0.0,Core staff,4.0,01/02/1991,D,5162450
F,N,Y,0.0,202500.0,Working,Secondary / secondary special,Married,House / apartment,,1.0,0.0,0.0,0.0,Managers,2.0,03/07/1966,C,6241972
F,N,Y,0.0,180000.0,Working,Higher education,Married,House / apartment,-808.0,1.0,0.0,,1.0,Core staff,2.0,08/07/1988,V,6036702
M,N,Y,0.0,112500.0,Commercial associate,Secondary / secondary special,Single / not married,House / apartment,-2400.0,1.0,0.0,0.0,0.0,Laborers,1.0,06/12/1995,N,5429164
F,N,Y,0.0,99000.0,Working,Secondary / secondary special,Married,House / apartment,-1174.0,1.0,1.0,1.0,0.0,High skill tech staff,2.0,14/06/1981,B,5618616
F,N,N,1.0,135000.0,State servant,Secondary / secondary special,Married,House / apartment,-1256.0,1.0,0.0,1.0,0.0,,3.0,14/06/1975,Z,6014100
